,Actor,Movies
1683,Dirk Bogarde,"['The Damned', 'Accident', 'Victim', 'Darling']"
1684,Alfred Abel,['Metropolis']
1685,"Eddie Foy, Jr.","['Bells Are Ringing', 'Wilson']"
1686,ZaSu Pitts,"['Greed', ""It's a Mad, Mad, Mad, Mad World"", ""The Devil's Holiday""]"
1687,Eugene Pallette,"['The Adventures of Robin Hood', 'Chicago', 'The Three Musketeers']"
1688,Daniel Radcliffe,"['Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban', ""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Order of the Phoenix', 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Half-Blood Prince']"
1689,Paige O'Hara,"['Beauty and the Beast', 'Beauty and the Beast: The Enchanted Christmas']"
1690,Phil Harris,"['The Jungle Book', 'Robin Hood']"
1691,Martin Balsam,"['Psycho', ""Breakfast at Tiffany's"", 'Tora! Tora! Tora!', 'Summer Wishes, Winter Dreams', 'The Taking of Pelham One Two Three', ""St. Elmo's Fire""]"
1692,Van Heflin,"['Airport', 'Battle Cry', 'Patterns', 'Possessed', 'Stagecoach']"
1693,Aamir Khan,"['Lagaan: Once Upon a Time in India', 'Rangeela', 'Mangal Pandey: The Rising']"
1694,Gabrielle Union,"[""Breakin' All the Rules"", 'The Brothers', 'Bring It On', ""She's All That""]"
1695,Andy Dick,"[""The Lion King II: Simba's Pride"", 'Bongwater']"
1696,Sally Struthers,"['Alice in Wonderland', 'BAADASSSSS!', 'The Getaway']"
1697,Jeffrey Wright,"['Ali', 'Shaft', 'Casino Royale', 'Hamlet', 'The Manchurian Candidate']"
1698,Michael Berryman,"['The Hills Have Eyes', 'Weird Science']"
1699,Red Buttons,"['The Longest Day', ""Pete's Dragon"", ""They Shoot Horses, Don't They?"", 'The Poseidon Adventure', 'One, Two, Three', 'Stagecoach', 'Alice in Wonderland']"
1700,George Brent,"['42nd Street', 'Jezebel']"
1701,Lambert Wilson,"['Sahara', 'Catwoman', 'Timeline']"
1702,Peter Coyote,"['Cross Creek', 'Jagged Edge', 'E.T. the Extra-Terrestrial', 'Sphere', 'Erin Brockovich']"
1703,Justin Theroux,"['Mulholland Drive', 'The Broken Hearts Club: A Romantic Comedy']"
1704,Fay Bainter,"['Our Town', 'Jezebel']"
1705,Stephen Rea,"['Guinevere', 'Michael Collins']"
1706,Jack Carson,"['Mr. & Mrs. Smith', 'Arsenic and Old Lace']"
1707,Don Murray,"['Endless Love', 'Happy Birthday, Wanda June', 'Bus Stop']"
1708,Neil Innes,"['The Rutles', 'Jabberwocky']"
1709,Peter Cullen,"[""Pooh's Heffalump Movie"", ""Piglet's Big Movie"", 'The Transformers: The Movie', 'Robotix']"
1710,Ricardo Montalban,"['Madame X', 'Star Trek II: The Wrath of Khan', 'Battleground']"
1711,Ingrid Bergman,"['Anastasia', 'Casablanca', 'Joan of Arc', ""The Bells of St. Mary's"", 'Spellbound', ""Dead Men Don't Wear Plaid""]"
1712,Michael Pataki,"[""Airport '77"", 'Remo Williams: The Adventure Begins']"
1713,Tony Shalhoub,"['Cars', ""The Man Who Wasn't There"", 'Men in Black']"
1714,Jennifer Tilly,"['The Doors', 'Bound', 'The Haunted Mansion']"
1715,Evan Adams,['Smoke Signals']
1716,Leonard Nimoy,"['Star Trek V: The Final Frontier', 'Star Trek: The Motion Picture', 'Star Trek IV: The Voyage Home', 'Star Trek II: The Wrath of Khan', 'Star Trek III: The Search for Spock', 'The Transformers: The Movie', 'Vincent', 'Atlantis: The Lost Empire', 'Star Trek VI: The Undiscovered Country']"
1717,Jason Schwartzman,"['I heart Huckabees', 'Rushmore']"
1718,Tara Reid,"['Josie and the Pussycats', 'Urban Legend', 'Dr. T & the Women', ""National Lampoon's Van Wilder"", 'Alone in the Dark']"
1719,George Kennedy,"['Airport', ""In Harm's Way"", 'The Naked Gun 2 1/2: The Smell of Fear', ""Cats Don't Dance"", 'Earthquake', 'Lost Horizon', ""Airport '77"", '...tick...tick...tick...']"
1720,Ice Cube,"['Barbershop', 'Are We There Yet', 'Barbershop 2: Back in Business', 'Three Kings', 'Friday', 'Anaconda']"
1721,Joan Fontaine,"['Suspicion', 'Island in the Sun', 'Rebecca']"
1722,Glynis Johns,"['Miranda', 'Mary Poppins']"
1723,Virginia Madsen,"['The Haunting', 'Dune', 'Candyman', 'Godzilla', 'Class', 'The Rainmaker']"
1724,Linda Harrison,"['Planet of the Apes', 'Cocoon', 'Cocoon: The Return']"
1725,Kevin McKidd,"['Small Faces', 'Trainspotting', 'Kingdom of Heaven', 'Max']"
1726,Eddie Jones,"['Sneakers', 'Seabiscuit']"
1727,Tilda Swinton,"['Edward II', 'Orlando', 'Caravaggio', 'Young Adam', 'Adaptation', 'Blue', 'Constantine']"
1728,Robert Helpmann,"['The Tales of Hoffmann', 'The Red Shoes']"
1729,Victor Wong,"['Prince of Darkness', 'Tremors']"
1730,Jason Gedrick,"['Promised Land', 'Backdraft']"
1731,Ja Rule,"['Assault on Precinct 13', 'Shall We Dance?']"
1732,Bruce Bennett,"['Sahara', 'Strategic Air Command']"
1733,Juliane Ki¶hler,"['Aimee & Jaguar', 'Downfall']"
1734,Vanessa Redgrave,"['The Pledge', 'Julia', 'Good Boy!', 'Wilde', 'Morgan: A Suitable Case for Treatment', 'Mary, Queen of Scots', 'Deep Impact', 'Howards End', 'Mission: Impossible', 'The House of the Spirits', 'The Devils']"
1735,DeForest Kelley,"['Star Trek V: The Final Frontier', 'Star Trek: The Motion Picture', 'Star Trek IV: The Voyage Home', 'Star Trek II: The Wrath of Khan', 'Star Trek III: The Search for Spock', 'Star Trek VI: The Undiscovered Country']"
1736,William Shatner,"['Star Trek: Generations', 'Incubus', 'Star Trek V: The Final Frontier', 'Star Trek: The Motion Picture', 'Star Trek IV: The Voyage Home', 'Star Trek II: The Wrath of Khan', 'Star Trek III: The Search for Spock', 'Star Trek VI: The Undiscovered Country']"
1737,Nicole Kidman,"['Dead Calm', 'BMX Bandits', 'The Others', 'Birth', 'Cold Mountain', 'Moulin Rouge!', 'Flirting', 'Panic Room', 'The Portrait of a Lady', 'The Golden Compass', 'The Stepford Wives']"
1738,Monty Woolley,"['Young Dr. Kildare', 'The Pied Piper']"
1739,Kelly Preston,"['Twins', 'What a Girl Wants', 'Curdled', 'Eulogy', 'For Love of the Game', 'Addicted to Love']"
1740,Jane Adams,"['Mrs. Parker and the Vicious Circle', 'Happiness', 'Orange County', ""Lemony Snicket's A Series of Unfortunate Events""]"
1741,Jason Anthony Griffith,"['Pokamon: Jirachi Wishmaker', 'Pokamon: Lucario and the Mystery of Mew']"
1742,Lucille Ball,"['Room Service', 'Yours, Mine and Ours']"
1743,"Alan Hale, Sr.","['The Adventures of Robin Hood', 'Robin Hood']"
1744,Ben Johnson,['The Getaway']
1745,Jane Alexander,"['Testament', 'Square Dance']"
1746,Jenny Lewis,"[""Don's Plum"", 'The Wizard', 'Foxfire']"
1747,Matt Dillon,"['In & Out', 'Over the Edge', 'Singles', ""There's Something About Mary"", 'Herbie: Fully Loaded']"
1748,Robert Duvall,"['Network', 'Phenomenon', 'Gone in Sixty Seconds', ""Hearts of Darkness: A Filmmakers's Apocalypse"", 'Captain Newman, M.D.', 'Deep Impact', 'MASH']"
1749,Erland Josephson,"['Face to Face', 'Scenes from a Marriage']"
1750,Clint Howard,"['That Thing You Do!', ""Rock 'n' Roll High School"", 'The Jungle Book', 'Night Shift']"
1751,Carl Reiner,"['The Russians Are Coming, the Russians Are Coming', ""Dead Men Don't Wear Plaid"", ""Ocean's Twelve""]"
1752,Mel Gibson,"['Tequila Sunrise', 'Conspiracy Theory', 'Ransom', 'Pocahontas', 'Forever Young', 'Air America', 'The River', 'The Patriot', 'Signs', 'Gallipoli', 'The Singing Detective', 'Maverick', 'Hamlet', 'Mad Max 2: The Road Warrior']"
1753,Travis Tedford,"['The Little Rascals', 'The Haunting']"
1754,Cary Elwes,"[""Bram Stoker's Dracula"", 'The Princess Bride', 'Kiss the Girls', 'Hot Shots!', 'Robin Hood: Men in Tights', 'Lady Jane', 'Uprising', 'Saw', 'The Jungle Book', 'Glory', 'Twister']"
1755,Harpo Marx,"['Room Service', 'Animal Crackers', 'Saps at Sea', 'A Night at the Opera', 'A Day at the Races', 'Monkey Business']"
1756,Carla Gugino,"['Sin City', 'Welcome Home, Roxy Carmichael', 'Snake Eyes', 'The One']"
1757,Lynn Redgrave,"['Shine', ""How to Kill Your Neighbor's Dog"", ""Morgan Stewart's Coming Home"", 'Everything You Always Wanted to Know About Sex (But Were Afraid to Ask)', 'Spider', 'Peter Pan']"
1758,Elisabeth Shue,"['Hide and Seek', 'The Saint', 'Cocktail']"
1759,Anatoly Solonitsyn,"['Andrei Rublev', 'Stalker', 'Solaris']"
1760,Casey Affleck,"['Committed', 'Gerry', 'Hamlet', ""Ocean's Twelve""]"
1761,Jameson Thomas,"['Piccadilly', ""The Farmer's Wife""]"
1762,Raymond Burr,"['M', 'Out of the Blue']"
1763,George Harrison,"['The Rutles', ""A Hard Day's Night""]"
1764,Harry Andrews,"[""I'll Never Forget What's 'Isname"", 'Battle of Britain', 'Watership Down']"
1765,James Dean,"['East of Eden', 'Giant']"
1766,Morris Chestnut,"['Under Siege 2: Dark Territory', 'Anacondas: The Hunt for the Blood Orchid', 'The Brothers', ""Breakin' All the Rules""]"
1767,Rue McClanahan,"['Starship Troopers', 'The Dreamer of Oz: The L. Frank Baum Story']"
1768,Melanie Mayron,"['My Blue Heaven', 'Missing']"
1769,Blythe Danner,"['Alice', 'To Wong Foo, Thanks for Everything! Julie Newmar', 'Mr. & Mrs. Bridge', 'Sylvia', 'The X Files', ""Lovin' Molly""]"
1770,Erik von Detten,"['American Girl', 'The Princess Diaries']"
1771,Howard Keel,"['Calamity Jane', 'Show Boat']"
1772,Jada Pinkett Smith,"['Ali', 'Collateral', 'Madagascar', 'Tales from the Crypt presents: Demon Knight']"
1773,Michael Horton,"['Star Trek: First Contact', 'Star Trek: Insurrection']"
1774,Chelcie Ross,"['Above the Law', 'The Gift', 'Rudy', 'Major League']"
1775,Sam Jaffe,"['Nothing Lasts Forever', 'Ben-Hur']"
1776,Jonathan Tucker,"['Hostage', 'Sleepers']"
1777,J. Pat O'Malley,"['Alice in Wonderland', 'The Jungle Book']"
1778,Robert Oliveri,"['Honey, I Blew Up the Kid']"
1779,Rex Linn,"['Rush Hour', 'Cliffhanger']"
1780,Shannon Elizabeth,"['Cursed', 'Tomcats']"
1781,Valeria Golino,"[""John Carpenter's Escape from L.A."", 'Hot Shots!', 'Hot Shots! Part Deux', 'Immortal Beloved']"
1782,Armin Mueller-Stahl,"['The X Files', 'Shine', 'Avalon', 'Music Box']"
1783,Alan Tudyk,"['Serenity', 'I, Robot', 'Dodgeball: A True Underdog Story', ""A Knight's Tale""]"
1784,George Sanders,"['The Jungle Book', 'Foreign Correspondent', 'Rebecca']"
1785,Yoshiko Kuga,"['Hakuchi', 'Good Morning']"
1786,Scott Wolf,"[""Lady and the Tramp II: Scamp's Adventure"", 'Go']"
1787,Donald Pleasence,"['Dracula', 'Halloween', 'The Last Tycoon', 'The Great Escape II: The Untold Story', 'Prince of Darkness', 'Cul-de-Sac', 'Jesus of Nazareth']"
1788,Nigel Patrick,"['Battle of Britain', 'The League of Gentlemen']"
1789,Ryan O'Neal,"['Fever Pitch', ""What's Up, Doc?"", ""Oliver's Story"", 'Paper Moon', 'An Alan Smithee Film: Burn Hollywood Burn', 'The Games']"
1790,Kimberly Elise,"['The Manchurian Candidate', 'Beloved']"
1791,Gerard Depardieu,"['1900', 'Camille Claudel', 'Uranus', 'Green Card', 'From Time to Time', 'Hamlet']"
1792,Claire Skinner,"['Life Is Sweet', 'Sleepy Hollow']"
1793,Charlotte Rae,"['Tom and Jerry: The Movie', 'Hair']"
1794,Dan Hedaya,"['Mulholland Drive', 'Freeway', 'Alien: Resurrection', 'The Hurricane', 'Commando', ""Marvin's Room"", 'Shaft', 'Ransom', 'Daylight', 'Nixon', 'Dick', 'Maverick', 'Robots']"
1795,Pepe Serna,"['Scarface', 'Car Wash']"
1796,Ellen Albertini Dow,"['54', 'Longshot']"
1797,Jurgen Prochnow,"['Dune', 'The Keep', 'Wing Commander', 'Air Force One']"
1798,Kayzie Rogers,"['Pokamon: Legend Comes to Life', 'Pokamon: Destiny Deoxys', 'Pokamon: Jirachi Wishmaker']"
1799,Sessue Hayakawa,"['Swiss Family Robinson', 'The Cheat']"
1800,Victor Garber,"['Exotica', 'Titanic']"
1801,Leonid Myasin,"['The Tales of Hoffmann', 'The Red Shoes']"
1802,Constance Marie,"['My Family', 'Selena']"
1803,Rebecca De Mornay,"['Identity', 'Runaway Train', 'Backdraft', 'The Hand That Rocks the Cradle', ""By Dawn's Early Light""]"
1804,Robert De Niro,"['The Mission', 'The King of Comedy', 'New York, New York', 'The Last Tycoon', 'Heat', ""Marvin's Room"", 'The Score', ""Mary Shelley's Frankenstein"", 'Brazil', 'Ronin', '1900', 'Casino', 'Backdraft', 'Hide and Seek', 'Jackie Brown', 'Sleepers', 'Cape Fear']"
1805,Ann-Margret,"['Tommy', 'Carnal Knowledge', 'Magic']"
1806,Keith Carradine,"['Mrs. Parker and the Vicious Circle', 'Pretty Baby', 'Nashville']"
1807,Adolfo Celi,"[""Von Ryan's Express"", 'Hitler: The Last Ten Days']"
1808,Hart Bochner,"['Mr. Destiny', 'Batman: Mask of the Phantasm']"
1809,Steven Bauer,"['Primal Fear', 'Scarface', 'Traffic', 'The Beast']"
1810,Helen Hunt,"['Dr. T & the Women', 'Mr. Saturday Night', 'Pay It Forward', 'Project X', 'Twister']"
1811,Elijah Wood,"['Oliver Twist', 'Black and White', 'The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Two Towers', 'Forever Young', 'The Good Son', 'Flipper', 'Avalon', 'Deep Impact', 'The Lord of the Rings: The Return of the King', 'Sin City', 'Radio Flyer', 'North']"
1812,Richard Dreyfuss,"['Oliver Twist', 'The American President', 'Jaws', 'What About Bob?', 'James and the Giant Peach', 'Silver City', 'Always', ""Mr. Holland's Opus""]"
1813,Richard Gere,"['King David', 'Shall We Dance?', 'The Cotton Club', 'Primal Fear', 'Dr. T & the Women', 'Chicago', 'Unfaithful']"
1814,Nozomu Sasaki,"['Akira', 'Yu Yu Hakusho: Poltergeist Report']"
1815,Carrot Top,"['The Rules of Attraction', 'Chairman of the Board']"
1816,Debi Derryberry,"['Jimmy Neutron: Boy Genius', 'Laputa: Castle in the Sky', 'The Haunting']"
1817,Kenneth McMillan,"['Dune', ""Cat's Eye"", 'Armed and Dangerous', 'Ragtime']"
1818,Amanda Plummer,"['Pulp Fiction', 'Freeway', 'The Fisher King', 'Hercules']"
1819,Toby Stephens,"['Mangal Pandey: The Rising', 'Orlando']"
1820,Casper Van Dien,"['Starship Troopers', 'Sleepy Hollow', 'Python']"
1821,Stephen Furst,"['The Little Mermaid II: Return to the Sea', ""National Lampoon's Animal House""]"
1822,Seymour Cassel,"['Faces', 'Rushmore', 'White Fang']"
1823,Reiley McClendon,"['The Kid', 'Pearl Harbor']"
1824,Nathaniel Parker,"['Hamlet', 'The Haunted Mansion']"
1825,Faye Dunaway,"['Network', 'The Messenger: The Story of Joan of Arc', 'Chinatown', 'The Rules of Attraction', 'Bonnie and Clyde']"
1826,Dolores Fuller,"['Ed Wood', 'Glen or Glenda?']"
1827,Robert Young,"['Northwest Passage', 'Crossfire', 'Three Comrades']"
1828,Mercedes Gilbert,['Body and Soul']
1829,Matthew McConaughey,"['U-571', 'Dazed and Confused', 'Reign of Fire', ""My Boyfriend's Back"", 'Sahara', 'Lone Star', 'Contact', 'Amistad']"
1830,John Waters,"['Something Wild', 'Breaker Morant']"
1831,Steven Berkoff,"['Children of Dune', 'Outland', 'Rambo: First Blood Part II']"
1832,Gabriele Ferzetti,"['Hitler: The Last Ten Days', ""L'avventura""]"
1833,Megan Follows,"['Anne of Green Gables: The Continuing Story', 'Anne of Green Gables']"
1834,Trey Parker,"['Cannibal! The Musical', 'Team America: World Police', 'South Park: Bigger, Longer & Uncut']"
1835,Barry Nelson,"['Airport', 'The Shining']"
1836,Dana Eskelson,"['Singles', 'Exiled: A Law & Order Movie']"
1837,George Newbern,"['Father of the Bride', 'Final Fantasy VII: Advent Children']"
1838,Dyan Cannon,"['Heaven Can Wait', 'Bob & Carol & Ted & Alice', 'Deathtrap']"
1839,Eric Christian Olsen,"['Cellular', 'Dumb & Dumberer']"
1840,Alec Newman,"['Dune', 'Children of Dune']"
1841,Roger Bart,"['Hercules', ""Lady and the Tramp II: Scamp's Adventure"", 'The Stepford Wives', 'The Insider']"
1842,Claire Forlani,"['The Rock', 'Antitrust']"
1843,Claudia Cardinale,"['The Professionals', 'Jesus of Nazareth', '8Â½']"
1844,Montgomery Clift,"['Red River', 'The Misfits', 'I Confess']"
1845,Linda Darnell,"['The Mark of Zorro', 'Brigham Young']"
1846,William Smith,"['Fever Pitch', ""Nam's Angels""]"
1847,Amitabh Bachchan,"['Silsila', 'Khabi Khushi Kabhi Gham']"
1848,David Marshall Grant,"['Air America', 'Bat*21']"
1849,Mayumi Tanaka,"['Laputa: Castle in the Sky', 'Burn Up!! A Close, Intense, Super-Fierce Battle', 'Clash!! 10,000,000,000 Powerful Warriors', 'Dead Zone']"
1850,Heather Angel,"[""Bulldog Drummond's Secret Police"", 'The Informer', 'Lifeboat', 'Peter Pan', 'Alice in Wonderland', 'Berkeley Square']"
1851,Dexter Fletcher,"['Layer Cake', 'Doom']"
1852,William Hope,"['Aliens', 'XXX', 'The Saint']"
1853,Jack Hawkins,"['The Cruel Sea', 'Lawrence of Arabia', 'Zulu', 'Waterloo', 'The League of Gentlemen', 'Ben-Hur']"
1854,Catherine Hicks,"['Fever Pitch', ""Child's Play"", 'Star Trek IV: The Voyage Home']"
1855,Donald Meek,"['Young Mr. Lincoln', 'Stagecoach']"
1856,Tom Towles,"['Night of the Living Dead', 'Henry: Portrait Of A Serial Killer']"
1857,Clancy Brown,"['Starship Troopers', ""Atlantis: Milo's Return"", 'The Hurricane', 'The Little Mermaid II: Return to the Sea']"
1858,Robert Mitchum,"['The Longest Day', ""Ryan's Daughter"", 'The Last Tycoon', 'Heaven Knows, Mr. Allison', 'The Story of G.I. Joe', 'Crossfire', 'El Dorado', 'The Night of the Hunter', 'Midway', 'Cape Fear']"
1859,Jimmy Smits,"['My Family', 'Star Wars Episode III: Revenge of the Sith', 'Star Wars Episode II: Attack of the Clones']"
1860,Dash Mihok,"['The Guru', 'Basic', 'The Thin Red Line', 'Romeo + Juliet']"
1861,Alan Bates,"['The Rose', 'Women in Love', 'Walker', 'King of Hearts', 'Hamlet']"
1862,Zooey Deschanel,"['Elf', 'Eulogy', ""The Hitchhiker's Guide to the Galaxy""]"
1863,Marc Blucas,"['The Alamo', 'First Daughter']"
1864,Mick Jagger,"['Bent', 'Ned Kelly', 'Performance']"
1865,Jack Gilford,"['Caveman', 'Cocoon', 'Cocoon: The Return']"
1866,Eddie Albert,"['The Heartbreak Kid', 'Captain Newman, M.D.', 'Dreamscape', ""I'll Cry Tomorrow"", 'Smash-Up, the Story of a Woman']"
1867,Anita Pallenberg,"['Candy', 'Performance']"
1868,Rod Steiger,"['F.I.S.T', 'The Longest Day', 'The Hurricane', 'Happy Birthday, Wanda June', 'Waterloo']"
1869,Luther Adler,"['M', 'D.O.A.']"
1870,Jennifer Esposito,"[""Breakin' All the Rules"", ""Don't Say a Word"", 'Taxi']"
1871,Richard Attenborough,"['Elizabeth', 'Doctor Dolittle', 'Jurassic Park', 'The Sand Pebbles', ""Private's Progress"", 'The League of Gentlemen', 'Dunkirk', ""I'm All Right Jack"", 'Hamlet', 'The Lost World: Jurassic Park']"
1872,Jack Noseworthy,"['U-571', 'Alive', 'Event Horizon']"
1873,Minnie Driver,"['Sleepers', 'South Park: Bigger, Longer & Uncut', 'The Phantom of the Opera']"
1874,John Cleese,"['Harry Potter and the Chamber of Secrets', ""Harry Potter and the Philosopher's Stone"", ""Charlie's Angels: Full Throttle"", ""Mary Shelley's Frankenstein"", 'The Jungle Book', 'Rat Race', 'An American Tail: Fievel Goes West', 'Clockwise']"
1875,Victor Mature,"['Kiss of Death', 'Samson and Delilah', 'Head']"
1876,Shamili,['Anjali']
1877,Kenneth Tobey,"['The Thing', 'The Beast from 20,000 Fathoms']"
1878,Akim Tamiroff,"['Tortilla Flat', 'Alphaville']"
1879,Leo McKern,"[""Ryan's Daughter"", 'The Blue Lagoon']"
1880,Andy Richter,"['Elf', 'New York Minute', 'Madagascar', 'Cabin Boy', 'Dr. Dolittle 2']"
1881,"Harry Carey, Jr.","['Rio Grande', 'Red River', 'Rio Bravo']"
1882,Tommy Kirk,"['Swiss Family Robinson', 'The Shaggy Dog']"
1883,Lou Jacobi,"['Avalon', 'The Diary of Anne Frank', 'Everything You Always Wanted to Know About Sex (But Were Afraid to Ask)']"
1884,Lonette McKee,"['Malcolm X', 'The Cotton Club']"
1885,John Garfield,"['Body and Soul', 'Under My Skin', 'Juarez', 'Tortilla Flat', ""Gentleman's Agreement""]"
1886,Ken Hudson Campbell,"['Groundhog Day', 'Armageddon']"
1887,Schuyler Fisk,"['The Baby-Sitters Club', 'Orange County']"
1888,Benicio del Toro,"['The Hunted', 'The Pledge', 'Snatch', 'Traffic', 'The Funeral', 'Sin City', 'Fearless']"
1889,Robert Carradine,"['Revenge of the Nerds II: Nerds in Paradise', 'Dangerous Curves', ""John Carpenter's Escape from L.A."", ""Max Keeble's Big Move"", 'Revenge of the Nerds IV: Nerds in Love', 'Revenge of the Nerds III: The Next Generation']"
1890,Jake Busey,"['Starship Troopers', 'Identity', 'Tomcats', 'The First $20 Million Is Always the Hardest']"
1891,Catherine Keener,"['About Last Night', 'Full Frontal', '8mm']"
1892,Pamela Gidley,"['Liebestraum', 'Twin Peaks: Fire Walk With Me']"
1893,Peter Ustinov,"['Spartacus', 'Robin Hood', 'Quo Vadis', ""Lorenzo's Oil"", 'Topkapi']"
1894,James Purefoy,"['Resident Evil', 'Vanity Fair', ""A Knight's Tale"", 'John Carter of Mars']"
1895,Anthony Hopkins,"[""Bram Stoker's Dracula"", 'Red Dragon', 'The Elephant Man', ""All the King's Men"", 'Hannibal', 'Titus', 'The Edge', 'Alexander', 'Nixon', 'Amistad', 'Chaplin', 'Howards End', 'Magic']"
1896,Greta Garbo,"['Grand Hotel', 'Romance']"
1897,Ronald Colman,"['Bulldog Drummond', 'Lost Horizon', 'Arrowsmith', 'A Tale of Two Cities', 'Condemned']"
1898,Richard Griffiths,"['Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban', ""Harry Potter and the Philosopher's Stone"", 'Sleepy Hollow', 'Harry Potter and the Order of the Phoenix', 'Greystoke - The Legend of Tarzan, Lord of the Apes']"
1899,Scatman Crothers,"['The Shining', 'Twilight Zone: The Movie']"
1900,Riley Smith,"['New York Minute', 'Voodoo Academy']"
1901,Mari­lia Pera,['Central do Brasil']
